from_node,to_node,weight
0,1,3.5
0,2,4.0
0,3,3.0
0,4,3.0
0,5,4.0
0,6,4.0
0,7,3.0
0,8,2.5
0,9,3.5
0,10,4.0
1,2,4.5
1,3,3.5
1,4,3.5
1,5,4.5
1,6,4.5
1,7,3.5
1,8,3.0
1,9,4.0
1,10,4.5
2,3,4.0
2,4,4.0
2,5,5.0
2,6,5.0
2,7,4.0
2,8,3.5
2,9,4.5
2,10,5.0
3,4,3.0
3,5,4.0
3,6,4.0
3,7,3.0
3,8,2.5
3,9,3.5
3,10,4.0
4,5,4.0
4,6,4.0
4,7,3.0
4,8,2.5
4,9,3.5
4,10,4.0
5,6,5.0
5,7,4.0
5,8,3.5
5,9,4.5
5,10,5.0
6,7,4.0
6,8,3.5
6,9,4.5
6,10,5.0
7,8,2.5
7,9,3.5
7,10,4.0
8,9,3.0
8,10,3.5
9,10,4.5
11,12,3.5
11,13,2.5
11,14,3.5
11,15,3.0
11,16,3.0
11,17,2.5
11,18,3.0
11,19,3.0
11,20,3.5
11,21,3.5
11,22,3.0
11,23,3.0
11,24,3.0
11,25,2.0
11,26,2.0
11,27,3.5
11,28,3.0
11,29,3.5
11,30,3.5
11,31,2.5
11,32,3.5
11,33,3.5
11,34,2.5
11,35,2.5
12,13,4.0
12,14,5.0
12,15,4.5
12,16,4.5
12,17,4.0
12,18,4.5
12,19,4.5
12,20,5.0
12,21,5.0
12,22,4.5
12,23,4.5
12,24,4.5
12,25,3.5
12,26,3.5
12,27,5.0
12,28,4.5
12,29,5.0
12,30,5.0
12,31,4.0
12,32,5.0
12,33,5.0
12,34,4.0
12,35,4.0
13,14,4.0
13,15,3.5
13,16,3.5
13,17,3.0
13,18,3.5
13,19,3.5
13,20,4.0
13,21,4.0
13,22,3.5
13,23,3.5
13,24,3.5
13,25,2.5
13,26,2.5
13,27,4.0
13,28,3.5
13,29,4.0
13,30,4.0
13,31,3.0
13,32,4.0
13,33,4.0
13,34,3.0
13,35,3.0
14,15,4.5
14,16,4.5
14,17,4.0
14,18,4.5
14,19,4.5
14,20,5.0
14,21,5.0
14,22,4.5
14,23,4.5
14,24,4.5
14,25,3.5
14,26,3.5
14,27,5.0
14,28,4.5
14,29,5.0
14,30,5.0
14,31,4.0
14,32,5.0
14,33,5.0
14,34,4.0
14,35,4.0
15,16,4.0
15,17,3.5
15,18,4.0
15,19,4.0
15,20,4.5
15,21,4.5
15,22,4.0
15,23,4.0
15,24,4.0
15,25,3.0
15,26,3.0
15,27,4.5
15,28,4.0
15,29,4.5
15,30,4.5
15,31,3.5
15,32,4.5
15,33,4.5
15,34,3.5
15,35,3.5
16,17,3.5
16,18,4.0
16,19,4.0
16,20,4.5
16,21,4.5
16,22,4.0
16,23,4.0
16,24,4.0
16,25,3.0
16,26,3.0
16,27,4.5
16,28,4.0
16,29,4.5
16,30,4.5
16,31,3.5
16,32,4.5
16,33,4.5
16,34,3.5
16,35,3.5
17,18,3.5
17,19,3.5
17,20,4.0
17,21,4.0
17,22,3.5
17,23,3.5
17,24,3.5
17,25,2.5
17,26,2.5
17,27,4.0
17,28,3.5
17,29,4.0
17,30,4.0
17,31,3.0
17,32,4.0
17,33,4.0
17,34,3.0
17,35,3.0
18,19,4.0
18,20,4.5
18,21,4.5
18,22,4.0
18,23,4.0
18,24,4.0
18,25,3.0
18,26,3.0
18,27,4.5
18,28,4.0
18,29,4.5
18,30,4.5
18,31,3.5
18,32,4.5
18,33,4.5
18,34,3.5
18,35,3.5
19,20,4.5
19,21,4.5
19,22,4.0
19,23,4.0
19,24,4.0
19,25,3.0
19,26,3.0
19,27,4.5
19,28,4.0
19,29,4.5
19,30,4.5
19,31,3.5
19,32,4.5
19,33,4.5
19,34,3.5
19,35,3.5
20,21,5.0
20,22,4.5
20,23,4.5
20,24,4.5
20,25,3.5
20,26,3.5
20,27,5.0
20,28,4.5
20,29,5.0
20,30,5.0
20,31,4.0
20,32,5.0
20,33,5.0
20,34,4.0
20,35,4.0
21,22,4.5
21,23,4.5
21,24,4.5
21,25,3.5
21,26,3.5
21,27,5.0
21,28,4.5
21,29,5.0
21,30,5.0
21,31,4.0
21,32,5.0
21,33,5.0
21,34,4.0
21,35,4.0
22,23,4.0
22,24,4.0
22,25,3.0
22,26,3.0
22,27,4.5
22,28,4.0
22,29,4.5
22,30,4.5
22,31,3.5
22,32,4.5
22,33,4.5
22,34,3.5
22,35,3.5
23,24,4.0
23,25,3.0
23,26,3.0
23,27,4.5
23,28,4.0
23,29,4.5
23,30,4.5
23,31,3.5
23,32,4.5
23,33,4.5
23,34,3.5
23,35,3.5
24,25,3.0
24,26,3.0
24,27,4.5
24,28,4.0
24,29,4.5
24,30,4.5
24,31,3.5
24,32,4.5
24,33,4.5
24,34,3.5
24,35,3.5
25,26,2.0
25,27,3.5
25,28,3.0
25,29,3.5
25,30,3.5
25,31,2.5
25,32,3.5
25,33,3.5
25,34,2.5
25,35,2.5
26,27,3.5
26,28,3.0
26,29,3.5
26,30,3.5
26,31,2.5
26,32,3.5
26,33,3.5
26,34,2.5
26,35,2.5
27,28,4.5
27,29,5.0
27,30,5.0
27,31,4.0
27,32,5.0
27,33,5.0
27,34,4.0
27,35,4.0
28,29,4.5
28,30,4.5
28,31,3.5
28,32,4.5
28,33,4.5
28,34,3.5
28,35,3.5
29,30,5.0
29,31,4.0
29,32,5.0
29,33,5.0
29,34,4.0
29,35,4.0
30,31,4.0
30,32,5.0
30,33,5.0
30,34,4.0
30,35,4.0
31,32,4.0
31,33,4.0
31,34,3.0
31,35,3.0
32,33,5.0
32,34,4.0
32,35,4.0
33,34,4.0
33,35,4.0
34,35,3.0
36,37,4.0
36,38,4.5
36,39,3.5
36,40,4.0
36,41,4.5
36,42,4.5
36,43,4.0
36,44,4.5
36,45,4.5
36,46,4.0
36,47,4.5
36,48,4.5
36,49,4.5
37,38,4.5
37,39,3.5
37,40,4.0
37,41,4.5
37,42,4.5
37,43,4.0
37,44,4.5
37,45,4.5
37,46,4.0
37,47,4.5
37,48,4.5
37,49,4.5
38,39,4.0
38,40,4.5
38,41,5.0
38,42,5.0
38,43,4.5
38,44,5.0
38,45,5.0
38,46,4.5
38,47,5.0
38,48,5.0
38,49,5.0
39,40,3.5
39,41,4.0
39,42,4.0
39,43,3.5
39,44,4.0
39,45,4.0
39,46,3.5
39,47,4.0
39,48,4.0
39,49,4.0
40,41,4.5
40,42,4.5
40,43,4.0
40,44,4.5
40,45,4.5
40,46,4.0
40,47,4.5
40,48,4.5
40,49,4.5
41,42,5.0
41,43,4.5
41,44,5.0
41,45,5.0
41,46,4.5
41,47,5.0
41,48,5.0
41,49,5.0
42,43,4.5
42,44,5.0
42,45,5.0
42,46,4.5
42,47,5.0
42,48,5.0
42,49,5.0
43,44,4.5
43,45,4.5
43,46,4.0
43,47,4.5
43,48,4.5
43,49,4.5
44,45,5.0
44,46,4.5
44,47,5.0
44,48,5.0
44,49,5.0
45,46,4.5
45,47,5.0
45,48,5.0
45,49,5.0
46,47,4.5
46,48,4.5
46,49,4.5
47,48,5.0
47,49,5.0
48,49,5.0
